id,summer_usage,winter_usage,annual_usage
108585,28424.455657276467,51265.146636654434,110748.6876074653
108587,17291.77416917098,56050.39252082105,102265.57253033188
108596,45599.89343243372,71591.15134416716,161796.56455473122
108597,27858.563654001788,82835.7574326724,155789.54100966017
108603,97793.92145670383,276022.5002888874,528779.375284755
108651,26160.530202715727,65061.904466105465,129230.03731760167
108652,17552.40115501821,37869.85146561201,77774.65212119538
108655,75288.9697483809,170230.63370364887,326396.2163047299
108657,30980.13281801004,107870.74777130758,192407.84824440558
108686,204864.9369271906,636312.814306768,1217549.5227783667
108693,87931.49171389916,133539.41024547044,311735.0087644528
108704,70104.62995720006,332442.1135049312,583015.7190204449
108710,928444.8606734825,1401593.2730090427,3409275.840730432
108755,4578.994754768554,11293.42045303014,22698.127519789177
108762,77702.74459206148,196618.16560514158,385986.2084317622
108774,296544.8136611258,597320.1174702568,1275838.6052017317
108775,253317.3316363064,267008.93643020507,731209.7498958404
108789,751423.2701812203,753035.205485595,2228706.855953003
108791,229352.75901112528,315200.2131346425,747272.6587924648
108794,4566435.61970002,5031306.731039737,13493030.335085198
108802,6456.829795661001,16088.638750352176,31543.307951441275
108813,2164826.0496044573,2485732.390407298,6443783.41046498
108819,96738.45226799279,238236.79392594352,458941.65329019574
108826,175792.146601842,392430.40497245453,798595.0522383602
108838,88345.54081954804,81888.2212437981,245419.94884663622
108841,756493.9058922682,2625463.4448502515,4882942.8515290115
108845,80193.80045846401,146492.99803848972,304747.75451275456
108860,2891331.789714103,4489880.26975092,10627990.863640891
108880,1529881.781145284,2755883.4423649716,6145479.0333141815
108881,12036.3093042342,43865.57711884676,79839.00373574029
108894,763718.0397815474,1075727.8790622756,2627020.3550714934
108900,9982.317573662625,75082.3869098902,121112.89423403774
108909,16414.576951083276,46416.42373200657,87554.8672887863
108910,37372.410668344615,50905.52998611898,124846.6515128921
108918,302428.0249960874,830313.6328558978,1675215.1820036839
108935,16156.707215387223,79035.373745478,133559.96341950464
108936,61445.73792056389,125102.7427156253,254706.56644278282
108971,11437.283863123388,53333.77118995469,88699.17991168608
108977,11151.606930669763,26491.374536162482,53087.79290406818
108986,58682.64759426187,82932.34868510069,198890.87919706744
108995,26619.22424145556,103069.21611792114,181269.21946519392
109042,434614.2535863034,787655.885022473,1747936.877742305
109045,304580.5049353946,641980.4499847923,1358028.8142834431
109071,187694.34615476077,561413.1607904257,1062617.5019655507
