start,value,project_id,interpretation
2015-01-01 00:00:00,0.61683272591,ABC,gas
2015-01-01 01:00:00,0.620718027892,ABC,gas
2015-01-01 02:00:00,0.623165904936,ABC,gas
2015-01-01 03:00:00,0.638084750388,ABC,gas
2015-01-01 04:00:00,0.639680895855,ABC,gas
2015-01-01 05:00:00,0.655362035322,ABC,gas
2015-01-01 06:00:00,0.674132416044,ABC,gas
2015-01-01 07:00:00,0.708052774501,ABC,gas
2015-01-01 08:00:00,0.612666415434,ABC,gas
2015-01-01 09:00:00,0.5436872706,ABC,gas
2015-01-01 10:00:00,0.497094947403,ABC,gas
2015-01-01 11:00:00,0.411208278705,ABC,gas
2015-01-01 12:00:00,0.388614341266,ABC,gas
2015-01-01 13:00:00,0.363285822191,ABC,gas
2015-01-01 14:00:00,0.357275070731,ABC,gas
2015-01-01 15:00:00,0.359688666808,ABC,gas
2015-01-01 16:00:00,0.370987048438,ABC,gas
2015-01-01 17:00:00,0.41082997356,ABC,gas
2015-01-01 18:00:00,0.399627883651,ABC,gas
2015-01-01 19:00:00,0.390589740917,ABC,gas
2015-01-01 20:00:00,0.400779867985,ABC,gas
2015-01-01 21:00:00,0.398962164332,ABC,gas
2015-01-01 22:00:00,0.411226660068,ABC,gas
2015-01-01 23:00:00,0.415723608031,ABC,gas
2015-01-02 00:00:00,0.455192345249,ABC,gas
2015-01-02 01:00:00,0.446428772925,ABC,gas
2015-01-02 02:00:00,0.459760122927,ABC,gas
2015-01-02 03:00:00,0.458799904795,ABC,gas
2015-01-02 04:00:00,0.436964678309,ABC,gas
2015-01-02 05:00:00,0.44442030347,ABC,gas
2015-01-02 06:00:00,0.480490434882,ABC,gas
2015-01-02 07:00:00,0.443786347447,ABC,gas
2015-01-02 08:00:00,0.432958491769,ABC,gas
2015-01-02 09:00:00,0.414138911205,ABC,gas
2015-01-02 10:00:00,0.407790794506,ABC,gas
2015-01-02 11:00:00,0.362063273786,ABC,gas
2015-01-02 12:00:00,0.342341817756,ABC,gas
2015-01-02 13:00:00,0.356944268672,ABC,gas
2015-01-02 14:00:00,0.357966381564,ABC,gas
2015-01-02 15:00:00,0.342993267697,ABC,gas
2015-01-02 16:00:00,0.378291732474,ABC,gas
2015-01-02 17:00:00,0.393752777286,ABC,gas
2015-01-02 18:00:00,0.354219720097,ABC,gas
2015-01-02 19:00:00,0.352859789188,ABC,gas
2015-01-02 20:00:00,0.346080411563,ABC,gas
2015-01-02 21:00:00,0.340090102261,ABC,gas
2015-01-02 22:00:00,0.362250662628,ABC,gas
2015-01-02 23:00:00,0.368292506569,ABC,gas
2015-01-03 00:00:00,0.372700084936,ABC,gas
2015-01-03 01:00:00,0.378970050734,ABC,gas
2015-01-03 02:00:00,0.385530356341,ABC,gas
2015-01-03 03:00:00,0.41150744183,ABC,gas
2015-01-03 04:00:00,0.424554667672,ABC,gas
2015-01-03 05:00:00,0.459426326671,ABC,gas
2015-01-03 06:00:00,0.522194435416,ABC,gas
2015-01-03 07:00:00,0.487448527304,ABC,gas
2015-01-03 08:00:00,0.510743714811,ABC,gas
2015-01-03 09:00:00,0.504798318539,ABC,gas
2015-01-03 10:00:00,0.505991947302,ABC,gas
2015-01-03 11:00:00,0.454428257815,ABC,gas
2015-01-03 12:00:00,0.431227028336,ABC,gas
2015-01-03 13:00:00,0.424861162975,ABC,gas
2015-01-03 14:00:00,0.408952354752,ABC,gas
2015-01-03 15:00:00,0.400581564303,ABC,gas
2015-01-03 16:00:00,0.409619346525,ABC,gas
2015-01-03 17:00:00,0.438867172278,ABC,gas
2015-01-03 18:00:00,0.416988911453,ABC,gas
2015-01-03 19:00:00,0.422404392135,ABC,gas
2015-01-03 20:00:00,0.426971696429,ABC,gas
2015-01-03 21:00:00,0.435631605621,ABC,gas
2015-01-03 22:00:00,0.440265363898,ABC,gas
2015-01-03 23:00:00,0.448750189011,ABC,gas
2015-01-04 00:00:00,0.448923213311,ABC,gas
2015-01-04 01:00:00,0.453792071194,ABC,gas
2015-01-04 02:00:00,0.464952706472,ABC,gas
2015-01-04 03:00:00,0.476374068641,ABC,gas
2015-01-04 04:00:00,0.480324357163,ABC,gas
2015-01-04 05:00:00,0.487046486906,ABC,gas
2015-01-04 06:00:00,0.492587865611,ABC,gas
2015-01-04 07:00:00,0.525249893241,ABC,gas
2015-01-04 08:00:00,0.477552232798,ABC,gas
2015-01-04 09:00:00,0.46519065547,ABC,gas
